Product_Brand,Product_Name,Product_Type,Product_Category,Product_Original_Price,Product_Offer_Price,Product_Discount,Product_Rating,Product_Ratings_Count,Product_Reviews_Count,Product_Highlight,Product_Stock_Status,Product_Rating_Scale,Product_Price_Difference
Lakme,"Lakme Sun Expert SPF 50 PA++++ Sunscreen
Stick & Nia-VIT C Sunscreen Combo",Kits & Combos,Combo,1398,1118,20,4.3,1758,306,,In Stock,High,280
Lakme,"Lakme Vit C Superglow Concealer with
Setting Spray Combo (2 Pcs)",Kits & Combos,Combo,625,563,10,4.4,1935,201,,In Stock,High,62
Lakme,Lakme Nails - Pack of 3 (3 pcs),Kits & Combos,Combo,720,612,15,4.4,28709,2527,,In Stock,High,108
Lakme,"Lakme Superglow Prep Cover Set Combo (3
Pcs)",Kits & Combos,Combo,1024,952,7,4.5,2555,379,,In Stock,High,72
Lakme,"Lakme Vitamin C Brillance Serum &
Vitamin C Facewash Combo",Kits & Combos,Combo,668,621,7,4.4,3372,233,,In Stock,High,47
Lakme,"Lakme Glitterati Lip Glaze, High Shine
Lip Plumper Lip Gloss & Lip Liner Combo
- Nudes (2 Pcs)",Kits & Combos,Combo,1169,1052,10,4.4,409,59,,In Stock,High,117
Lakme,"Lakme Super Saver Daily Essentails Combo
(Kajal + CC Cream)(3 Pcs)",Kits & Combos,Combo,819,653,20,4.5,76536,3578,,In Stock,High,166
Lakme,"Lakme Romance Ready Duo (Lipstick +
Eyeliner)(2 Pcs)",Kits & Combos,Combo,949,612,36,4.4,66661,3441,,In Stock,High,337
Lakme,"Lakme Glitter Glaze Lip Gloss & Lip
Liner Nude Combo (2 Pcs)",Kits & Combos,Combo,1169,1025,12,4.4,419,59,,In Stock,High,144
Lakme,Lakme Glycolic Illuminate Regime Combo,Kits & Combos,Combo,1697,1425,16,4.1,458,46,,In Stock,High,272
Lakme,"Lakme Vit C Superglow Compact with
Setting Spray Combo (2 Pcs)",Kits & Combos,Combo,675,608,10,4.5,1739,195,,In Stock,High,67
Lakme,"Lakme Color Crush Nail Art - G12 + Nail
Polish Remover Combo",Kits & Combos,Combo,288,268,7,4.4,59050,4850,,In Stock,High,20
Lakme,"Lakme Lumi Strobe Cream Face & Body -
Gold",Skin Care,Moisturizers,1198,1018,15,4.3,3776,223,,In Stock,High,180
Lakme,"Lakme Blooming Beauty Lipstick Combo (2
Pcs)",Kits & Combos,Combo,2198,0,0,4.6,162,90,,In Stock,High,2198
Lakme,"Lakme CC Cream + Eyeliner Pen Tip Duo (2
Pcs)",Kits & Combos,Combo,698,568,19,4.4,101191,5685,,In Stock,High,130
Lakme,"Lakme Glitterati Face Palette - Day
Queen (14g)",Makeup,Face,1199,1019,15,3.3,3,0,,In Stock,Medium,180
Lakme,"Lakme Superglow Base Combo (Primer +
Fixer)(2 Pcs)",Kits & Combos,Combo,724,673,7,4.5,2015,296,,In Stock,High,51
Lakme,Lakme Glycolic Serum & Facewash Combo,Kits & Combos,Combo,948,853,10,4.3,234,12,,In Stock,High,95
Lakme,"Lakme Eyeconic Brow Boss - Light Brown
(5 g)",Makeup,Eye Brow,650,520,20,4.5,6,0,,In Stock,High,130
Lakme,"Lakme Sun Expert SPF 50 PA++++ Sunscreen
Stick & Hyaluronic Sunscreen Combo",Kits & Combos,Combo,1398,1118,20,4.4,1385,275,,In Stock,High,280
Lakme,"Lakme Sweet Drizzle Lipstick Combo (2
Pcs)",Kits & Combos,Combo,2098,2008,4,4.7,117,57,,In Stock,High,90
Lakme,Lakme Perfect Pujo Look Combo (3 Pcs),Kits & Combos,Combo,1499,997,33,4.4,59093,3025,,In Stock,High,502
